name,dim,percentage,k,type,normalised,2,4,6
pendigits,6870,2.2707423581,50,0,1,0,0,1
pendigits,6870,2.2707423581,100,1,0,1,1,1
pendigits,6870,2.2707423581,100,1,1,1,1,1
pendigits,6870,2.2707423581,100,0,0,0,0,0
pendigits,6870,2.2707423581,100,0,1,0,1,0
pendigits,6870,2.2707423581,200,1,0,1,1,1
pendigits,6870,2.2707423581,200,1,1,1,1,1
pendigits,6870,2.2707423581,200,0,0,0,1,1
pendigits,6870,2.2707423581,200,0,1,0,1,1
pendigits,6870,2.2707423581,300,1,0,1,1,1
pendigits,6870,2.2707423581,300,1,1,1,1,1
pendigits,6870,2.2707423581,300,0,0,0,0,0
pendigits,6870,2.2707423581,300,0,1,0,0,1
pima,768,34.8958333333,10,1,0,1,1,1
pima,768,34.8958333333,10,1,1,1,1,0
pima,768,34.8958333333,10,0,0,1,1,1
pima,768,34.8958333333,10,0,1,0,0,0
pima,768,34.8958333333,30,1,0,0,0,0
pima,768,34.8958333333,30,1,1,0,0,0
pima,768,34.8958333333,30,0,0,1,0,0
pima,768,34.8958333333,30,0,1,0,0,0
pima,768,34.8958333333,50,1,0,0,0,0
pima,768,34.8958333333,50,1,1,0,0,0
pima,768,34.8958333333,50,0,0,1,1,0
pima,768,34.8958333333,50,0,1,0,0,0
pima,768,34.8958333333,100,1,0,0,0,0
pima,768,34.8958333333,100,1,1,0,0,0
pima,768,34.8958333333,100,0,0,1,0,0
pima,768,34.8958333333,100,0,1,0,0,0
pima,768,34.8958333333,200,1,0,1,1,1
pima,768,34.8958333333,200,1,1,0,0,0
pima,768,34.8958333333,200,0,0,1,1,1
pima,768,34.8958333333,200,0,1,0,0,0
pima,768,34.8958333333,300,1,0,1,1,1
pima,768,34.8958333333,300,1,1,0,0,0
pima,768,34.8958333333,300,0,0,1,1,0
pima,768,34.8958333333,300,0,1,0,0,0
satellite,6435,31.6394716395,10,1,0,1,1,0
satellite,6435,31.6394716395,10,1,1,1,1,1
satellite,6435,31.6394716395,10,0,0,0,0,1
satellite,6435,31.6394716395,10,0,1,1,0,1
satellite,6435,31.6394716395,30,1,0,1,1,1
satellite,6435,31.6394716395,30,1,1,1,1,1
satellite,6435,31.6394716395,30,0,0,1,1,1
satellite,6435,31.6394716395,30,0,1,1,0,1
satellite,6435,31.6394716395,50,1,0,1,1,1
satellite,6435,31.6394716395,50,1,1,1,1,1
satellite,6435,31.6394716395,50,0,0,0,0,1
satellite,6435,31.6394716395,50,0,1,1,1,1
satellite,6435,31.6394716395,100,1,0,1,1,1
satellite,6435,31.6394716395,100,1,1,1,1,1
satellite,6435,31.6394716395,100,0,0,0,1,1
satellite,6435,31.6394716395,100,0,1,1,1,1
satellite,6435,31.6394716395,200,1,0,1,1,1
satellite,6435,31.6394716395,200,1,1,1,1,1
satellite,6435,31.6394716395,200,0,0,0,1,0
satellite,6435,31.6394716395,200,0,1,1,1,1
satellite,6435,31.6394716395,300,1,0,1,1,0
satellite,6435,31.6394716395,300,1,1,1,1,1
satellite,6435,31.6394716395,300,0,0,0,1,0
satellite,6435,31.6394716395,300,0,1,1,1,1
satimage-2,5803,1.2235050836,10,1,0,1,1,1
satimage-2,5803,1.2235050836,10,1,1,0,0,0
satimage-2,5803,1.2235050836,10,0,0,1,0,0
satimage-2,5803,1.2235050836,10,0,1,0,0,0
satimage-2,5803,1.2235050836,30,1,0,1,1,1
satimage-2,5803,1.2235050836,30,1,1,0,0,0
satimage-2,5803,1.2235050836,30,0,0,0,1,1
satimage-2,5803,1.2235050836,30,0,1,0,1,1
satimage-2,5803,1.2235050836,50,1,0,1,1,1
satimage-2,5803,1.2235050836,50,1,1,1,1,1
satimage-2,5803,1.2235050836,50,0,0,1,1,1
satimage-2,5803,1.2235050836,50,0,1,1,1,1
satimage-2,5803,1.2235050836,100,1,0,0,0,0
satimage-2,5803,1.2235050836,100,1,1,0,0,0
satimage-2,5803,1.2235050836,100,0,0,1,1,0
satimage-2,5803,1.2235050836,100,0,1,0,0,0
satimage-2,5803,1.2235050836,200,1,0,0,0,0
satimage-2,5803,1.2235050836,200,1,1,0,0,0
satimage-2,5803,1.2235050836,200,0,0,1,1,0
satimage-2,5803,1.2235050836,200,0,1,0,0,0
satimage-2,5803,1.2235050836,300,1,0,0,0,0
satimage-2,5803,1.2235050836,300,1,1,0,0,0
satimage-2,5803,1.2235050836,300,0,0,1,1,0
satimage-2,5803,1.2235050836,300,0,1,0,0,0
speech,3686,1.6549104721,30,1,0,1,1,1
speech,3686,1.6549104721,30,1,1,0,0,1
speech,3686,1.6549104721,30,0,0,1,1,1
speech,3686,1.6549104721,30,0,1,1,1,1
speech,3686,1.6549104721,50,1,0,0,0,0
speech,3686,1.6549104721,50,1,1,1,1,1
speech,3686,1.6549104721,50,0,0,1,1,1
speech,3686,1.6549104721,50,0,1,0,1,1
speech,3686,1.6549104721,100,1,0,0,0,0
speech,3686,1.6549104721,100,1,1,1,1,1
speech,3686,1.6549104721,100,0,0,1,1,1
speech,3686,1.6549104721,100,0,1,0,1,1
speech,3686,1.6549104721,200,1,0,0,0,0
speech,3686,1.6549104721,200,1,1,1,1,1
speech,3686,1.6549104721,200,0,0,1,1,1
speech,3686,1.6549104721,200,0,1,1,1,1
speech,3686,1.6549104721,300,1,0,0,0,0
speech,3686,1.6549104721,300,1,1,1,1,1
speech,3686,1.6549104721,300,0,0,1,1,1
speech,3686,1.6549104721,300,0,1,1,1,1
thyroid,3772,2.4655355249,10,1,0,0,0,0
thyroid,3772,2.4655355249,10,1,1,0,0,0
thyroid,3772,2.4655355249,10,0,0,0,0,0
thyroid,3772,2.4655355249,10,0,1,1,0,0
thyroid,3772,2.4655355249,30,1,0,0,0,0
thyroid,3772,2.4655355249,30,1,1,0,0,0
thyroid,3772,2.4655355249,30,0,0,1,0,0
thyroid,3772,2.4655355249,30,0,1,0,0,0
thyroid,3772,2.4655355249,50,1,0,0,0,0
thyroid,3772,2.4655355249,50,1,1,0,0,0
thyroid,3772,2.4655355249,50,0,0,1,0,0
thyroid,3772,2.4655355249,50,0,1,1,0,0
thyroid,3772,2.4655355249,100,1,0,0,0,0
thyroid,3772,2.4655355249,100,1,1,0,0,0
thyroid,3772,2.4655355249,100,0,0,0,0,0
thyroid,3772,2.4655355249,100,0,1,1,0,0
thyroid,3772,2.4655355249,200,1,0,0,0,0
thyroid,3772,2.4655355249,200,1,1,0,0,0
thyroid,3772,2.4655355249,200,0,0,0,0,0
thyroid,3772,2.4655355249,200,0,1,1,0,0
thyroid,3772,2.4655355249,300,1,0,0,0,0
thyroid,3772,2.4655355249,300,1,1,1,0,0
thyroid,3772,2.4655355249,300,0,0,0,0,0
thyroid,3772,2.4655355249,300,0,1,1,0,0
vertebral,240,12.5,10,1,0,1,1,0
vertebral,240,12.5,10,1,1,1,1,0
vertebral,240,12.5,10,0,0,1,0,0
vertebral,240,12.5,10,0,1,1,1,0
vertebral,240,12.5,30,1,0,1,1,1
vertebral,240,12.5,30,1,1,0,1,1
vertebral,240,12.5,30,0,0,1,0,0
vertebral,240,12.5,30,0,1,1,1,0
vertebral,240,12.5,50,1,0,0,0,1
vertebral,240,12.5,50,1,1,0,0,0
vertebral,240,12.5,50,0,0,1,0,0
vertebral,240,12.5,50,0,1,1,1,0
vertebral,240,12.5,100,1,0,0,0,0
vertebral,240,12.5,100,1,1,1,1,1
vertebral,240,12.5,100,0,0,0,0,0
vertebral,240,12.5,100,0,1,1,1,0
vertebral,240,12.5,200,1,0,1,1,1
vertebral,240,12.5,200,1,1,1,0,1
vertebral,240,12.5,200,0,0,1,1,1
vertebral,240,12.5,200,0,1,1,1,1
vowels,1456,3.4340659341,10,1,0,0,0,0
vowels,1456,3.4340659341,10,1,1,0,0,0
vowels,1456,3.4340659341,10,0,0,1,0,0
vowels,1456,3.4340659341,10,0,1,0,0,0
vowels,1456,3.4340659341,30,1,0,1,0,0
vowels,1456,3.4340659341,30,1,1,0,0,0
vowels,1456,3.4340659341,30,0,0,1,0,0
vowels,1456,3.4340659341,30,0,1,0,0,0
vowels,1456,3.4340659341,50,1,0,1,0,0
vowels,1456,3.4340659341,50,1,1,0,0,0
vowels,1456,3.4340659341,50,0,0,1,0,0
vowels,1456,3.4340659341,50,0,1,0,0,0
vowels,1456,3.4340659341,100,1,0,1,0,0
vowels,1456,3.4340659341,100,1,1,0,0,0
vowels,1456,3.4340659341,100,0,0,0,0,0
vowels,1456,3.4340659341,100,0,1,0,0,0
vowels,1456,3.4340659341,200,1,0,1,0,0
vowels,1456,3.4340659341,200,1,1,0,0,0
vowels,1456,3.4340659341,200,0,0,1,1,0
vowels,1456,3.4340659341,200,0,1,1,1,0
vowels,1456,3.4340659341,300,1,0,1,0,0
