,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
67,pendigits,6870,2.2707423581,200,0.8448171826,0.9052591982,0.9139074112,0.9155715573,0.8448171826,0.9291978873,0.9313756941,0.9062096614,0.8448171826,0.8438356897,0.8481082392,0.8567975069,0.8448171826,0.8315001948,0.8453661694,0.8524562147
68,pendigits,6870,2.2707423581,300,0.904993775,0.9377410768,0.9369066169,0.9230559184,0.904993775,0.9380351428,0.9377229364,0.9071940186,0.904993775,0.9048037778,0.9038394705,0.9022201981,0.904993775,0.8823583328,0.8972000718,0.9171555036
69,pima,768,34.8958333333,10,0.5063208955,0.5170970149,0.5192052239,0.5094850746,0.5063208955,0.5162574627,0.5385948765,0.3549751244,0.5063208955,0.5806567164,0.5193470429,0.5849780702,0.5063208955,0.504869403,0.3287521815,0.1917401996
70,pima,768,34.8958333333,30,0.5850373134,0.5477835821,0.5435485075,0.4907014925,0.5850373134,0.5164067164,0.5381231343,0.5190932836,0.5850373134,0.6227014925,0.4827394931,0.5562108044,0.5850373134,0.5130783582,0.4992080701,0.4717021052
71,pima,768,34.8958333333,50,0.6162089552,0.5674029851,0.5727276119,0.5564776119,0.6162089552,0.5206529851,0.5407723881,0.5219664179,0.6162089552,0.6473731343,0.6176604478,0.5459994407,0.6162089552,0.5282126866,0.5500671642,0.5358022388
72,pima,768,34.8958333333,100,0.6527835821,0.6062238806,0.6163395522,0.6107686567,0.6527835821,0.5352201493,0.5401753731,0.5276529851,0.6527835821,0.6916716418,0.6510783582,0.615439326,0.6527835821,0.5555410448,0.5533208955,0.5085708955
73,pima,768,34.8958333333,200,0.6320522388,0.6866268657,0.6936604478,0.6966044776,0.6320522388,0.5478022388,0.5308246269,0.5539738806,0.6320522388,0.7200746269,0.697108209,0.7038432836,0.6320522388,0.5532126866,0.5525298507,0.5370037313
74,pima,768,34.8958333333,300,0.6631567164,0.7156940299,0.7117052239,0.7132686567,0.6631567164,0.5432126866,0.5565186567,0.5304664179,0.6631567164,0.7197089552,0.707011194,0.6515373134,0.6631567164,0.5372350746,0.529380597,0.5428843284
75,satellite,6435,31.6394716395,10,0.5218990653,0.5653488402,0.5868196412,0.5088021548,0.5218990653,0.6090714937,0.629837175,0.6045277972,0.5218990653,0.5215620982,0.5161052877,0.5390186234,0.5218990653,0.5383964966,0.5108976143,0.5373750292
76,satellite,6435,31.6394716395,30,0.5561321536,0.6166750257,0.6567249668,0.6200283799,0.5561321536,0.6351367586,0.6478146712,0.6376911434,0.5561321536,0.5566877362,0.5574497084,0.6465547221,0.5561321536,0.583921444,0.5514590519,0.5784146893
77,satellite,6435,31.6394716395,50,0.5700271896,0.6269316432,0.67837161,0.6595684463,0.5700271896,0.6486270545,0.6568406554,0.6481737455,0.5700271896,0.5683295141,0.5661765757,0.6360230491,0.5700271896,0.6059687838,0.5769795645,0.5895083652
78,satellite,6435,31.6394716395,100,0.5716758497,0.6267572421,0.657006236,0.7028874731,0.5716758497,0.6548261102,0.6583249631,0.6399100126,0.5716758497,0.5692479671,0.5883919524,0.6175451891,0.5716758497,0.6300786792,0.6029637697,0.610317256
79,satellite,6435,31.6394716395,200,0.5799398059,0.6062513761,0.6330180417,0.5931630849,0.5799398059,0.647931348,0.6517018513,0.6384308409,0.5799398059,0.5646146137,0.6004117854,0.5530610971,0.5799398059,0.6397994767,0.6192268425,0.6156558063
